wavenumber,intensity
1944.0,0.0141223976
1946.0,0.00672781188
1948.0,0.00195348565
1950.0,0.0062189009
1952.0,0.0148671363
1954.0,0.0241152868
1956.0,0.0220878869
1958.0,0.0118355602
1960.0,0.012768534
1962.0,0.0165701285
1964.0,0.0155944973
1966.0,0.0132061718
1968.0,0.00899651926
1970.0,0.0108890058
1972.0,0.0175572615
1974.0,0.0222358555
1976.0,0.0217682105
1978.0,0.016131226
1980.0,0.00710144918
1982.0,0.000826147152
1984.0,0.00240988424
1986.0,0.0125209065
1988.0,0.0247536786
1990.0,0.0313025974
1992.0,0.0275598262
1994.0,0.0212345906
1996.0,0.0184544921
1998.0,0.0170271434
2000.0,0.0129852593
2002.0,0.00439139316
2004.0,0.00105661899
2006.0,0.00355759123
2008.0,0.00968576036
2010.0,0.0166789033
2012.0,0.0195077825
2014.0,0.0175762847
2016.0,0.0150499512
2018.0,0.014193452
2020.0,0.0150409341
2022.0,0.0149287246
2024.0,0.0111707598
2026.0,0.00490060169
2028.0,0.00325294142
2030.0,0.0102550937
2032.0,0.0216144137
2034.0,0.0284906384
2036.0,0.0268883742
2038.0,0.0217682086
2040.0,0.0167188998
2042.0,0.00989665557
2044.0,0.0044612498
2046.0,0.0026755631
2048.0,0.00696136523
2050.0,0.0175112318
2052.0,0.0296924282
2054.0,0.0343594849
2056.0,0.028945649
2058.0,0.0161705967
2060.0,0.0050605773
2062.0,0.0027667433
2064.0,0.0106365429
2066.0,0.0188538078
2068.0,0.0242829081
2070.0,0.021249149
2072.0,0.0123650944
2074.0,0.00470462022
2076.0,0.00517643522
2078.0,0.0156630725
2080.0,0.0272277631
2082.0,0.032869786
2084.0,0.0356105492
2086.0,0.0318684392
2088.0,0.0246517099
2090.0,0.0178571269
2092.0,0.00978220534
2094.0,0.00811374653
2096.0,0.0111540724
2098.0,0.0118037136
2100.0,0.00992209464
2102.0,0.00608773157
2104.0,0.00478682108
2106.0,0.0147237722
2108.0,0.0260427203
2110.0,0.0268419981
2112.0,0.0180791486
2114.0,0.00599276088
2116.0,0.00296830852
2118.0,0.0106695369
2120.0,0.011832322
2122.0,0.00545077631
2124.0,0.00102129276
2126.0,0.0042046248
2128.0,0.0185722969
2130.0,0.0310299471
2132.0,0.0270661972
2134.0,0.020148186
2136.0,0.018152507
2138.0,0.0113491658
2140.0,0.00793891586
2142.0,0.00907164533
2144.0,0.0130882235
2146.0,0.0229168404
2148.0,0.0231331494
2150.0,0.0162686575
2152.0,0.013647655
2154.0,0.00854750257
2156.0,0.00512764743
2158.0,0.00838844944
2160.0,0.0136983506
2162.0,0.0181527156
2164.0,0.0187406614
2166.0,0.0151790855
2168.0,0.012063086
2170.0,0.0113816708
2172.0,0.0110744564
2174.0,0.0125775468
2176.0,0.0199834257
2178.0,0.0243301429
2180.0,0.0261380635
2182.0,0.0256502964
2184.0,0.0156672206
2186.0,0.00550871389
2188.0,0.00799231883
2190.0,0.0137818363
2192.0,0.0218080524
2194.0,0.0230817497
2196.0,0.0148189329
2198.0,0.0108423382
2200.0,0.0111604147
2202.0,0.00829669647
2204.0,0.00971306488
2206.0,0.0147993714
2208.0,0.0157050248
2210.0,0.0169113353
2212.0,0.0129424734
2214.0,0.00723629585
2216.0,0.00658704201
2218.0,0.0115973055
2220.0,0.0165836327
2222.0,0.0185621381
2224.0,0.0161712077
2226.0,0.00966790877
2228.0,0.0107258223
2230.0,0.0178580228
2232.0,0.0203567408
2234.0,0.0147041082
2236.0,0.00933472067
2238.0,0.00367742172
2240.0,0.00887799542
2242.0,0.0153207425
2244.0,0.0222045984
2246.0,0.0285702832
2248.0,0.0313013159
2250.0,0.0243711211
2252.0,0.017925594
2254.0,0.00891147554
2256.0,0.00972543191
2258.0,0.0180173106
2260.0,0.0199714564
2262.0,0.0204330049
2264.0,0.0163393375
2266.0,0.0132916942
2268.0,0.0218516644
2270.0,0.0272826031
2272.0,0.0227195881
2274.0,0.0189690404
2276.0,0.022226423
2278.0,0.0259764567
2280.0,0.0246107783
2282.0,0.0230424721
2284.0,0.018070206
2286.0,0.0155163091
2288.0,0.0140363891
2290.0,0.00497533474
2292.0,0.00761577347
2294.0,0.0229890216
2296.0,0.0404833518
2298.0,0.0588896051
2300.0,0.0583984591
2302.0,0.0444943532
2304.0,0.0292618163
2306.0,0.011756721
2308.0,0.00712010404
2310.0,0.0162717644
2312.0,0.0326416306
2314.0,0.0386203639
2316.0,0.0250244159
2318.0,0.0056908098
2320.0,0.00432864903
2322.0,0.0136969974
2324.0,0.022940984
2326.0,0.0248335339
